Pocz_lp,Y,X1_Z2,X4_Z1,Ranga(X5),X6_Z2,X6_Z3,X6_Z5,X9,X10_Z2,X10_Z3,Ranga(X11),X12_Z1,Ranga(X12),X14_Z2,Ranga(X14),X15_Z1,X15_Z3,X18,X24
151,0,0,0,2119.5,0,0,0,23279.13,0,0,329.5,0,1926.5,1,1170.5,0,0,1,1
152,0,0,0,2119.5,0,0,0,34655.9,0,0,329.5,0,1926.5,1,1170.5,1,0,0,1
153,0,0,0,2119.5,1,0,0,59845.73,0,0,1521.5,0,994.5,0,284.5,0,0,0,1
155,0,0,0,1619.5,0,0,0,48723.98,0,0,2084.5,0,994.5,0,284.5,1,0,1,1
157,0,1,0,2119.5,0,0,0,-3253.03,0,0,329.5,0,1926.5,0,2086.5,1,0,1,1
158,0,0,0,883.5,1,0,0,116138.9,1,0,966.5,1,268.5,1,1170.5,1,0,0,1
159,0,0,1,883.5,0,0,1,-4546.22,0,0,2084.5,0,1926.5,0,284.5,1,0,0,1
160,0,1,1,2119.5,0,0,0,38923.66,0,1,2084.5,0,1926.5,0,2086.5,0,0,0,2
162,0,1,0,883.5,0,0,0,29847.29,0,0,1521.5,0,994.5,0,284.5,0,0,1,1
166,0,1,0,883.5,0,0,0,59547.33,0,0,329.5,0,994.5,0,2086.5,0,0,1,1
169,0,1,0,883.5,0,0,0,45248.68,0,0,1521.5,0,1926.5,1,1170.5,1,0,1,1
172,0,0,0,883.5,0,0,0,46415.92,0,0,329.5,0,1926.5,1,1170.5,0,0,1,1
173,0,0,0,883.5,0,1,0,34915.24,0,0,1521.5,1,268.5,0,2086.5,0,0,1,2
174,0,0,0,883.5,0,0,0,57140.18,0,0,2084.5,0,1926.5,0,2086.5,0,0,0,1
175,0,0,0,2119.5,1,0,0,28950.31,0,1,2084.5,0,1926.5,0,2086.5,1,0,0,1
176,0,0,0,883.5,0,0,0,93582.32,0,0,2084.5,0,1926.5,1,1170.5,0,0,0,1
179,0,0,0,883.5,0,0,0,26209.04,0,0,1521.5,0,1926.5,0,2086.5,1,0,1,1
181,0,0,0,883.5,1,0,0,20037.23,1,0,329.5,0,994.5,1,1170.5,1,0,0,1
182,0,0,0,2119.5,0,0,1,46797.75,0,0,329.5,0,994.5,1,1170.5,1,0,0,1
186,0,1,0,883.5,0,0,0,41989.38,0,0,329.5,0,1926.5,0,2086.5,0,0,1,1
188,0,0,1,2119.5,0,0,0,107711.62,1,0,329.5,0,1926.5,1,1170.5,1,0,0,1
193,0,0,0,1619.5,0,0,0,34868.27,0,0,329.5,0,994.5,0,2086.5,1,0,0,1
194,0,0,0,883.5,0,1,0,18040.84,0,0,966.5,0,1926.5,0,284.5,1,0,1,1
195,0,0,0,883.5,0,0,0,104802.14,0,0,966.5,1,268.5,1,1170.5,1,0,1,1
196,0,1,0,883.5,0,0,0,-30684.83,1,0,329.5,0,994.5,0,2086.5,0,0,1,1
197,0,0,1,189.5,0,0,1,36408.36,1,0,329.5,0,1926.5,0,2086.5,1,0,1,1
198,0,0,0,2119.5,1,0,0,22359.53,0,0,2084.5,1,268.5,0,2086.5,0,0,1,1
200,0,0,0,883.5,0,0,0,38689.57,0,0,329.5,0,1926.5,0,284.5,0,1,1,1
202,1,0,0,883.5,0,0,1,18470.02,0,0,329.5,0,1926.5,0,284.5,1,0,0,1
208,1,1,1,883.5,0,0,1,39292.28,0,0,329.5,0,1926.5,1,1170.5,0,0,1,1
209,1,1,0,189.5,0,0,1,-8224.46,1,0,966.5,1,268.5,0,284.5,0,0,0,1
211,1,0,0,189.5,0,0,1,-19395.88,1,0,329.5,0,994.5,1,1170.5,0,1,1,1
223,1,1,0,883.5,0,0,0,11468.9,1,0,966.5,0,1926.5,0,284.5,0,1,1,1
229,1,1,0,883.5,0,0,1,-12838.5,1,0,1521.5,1,268.5,0,2086.5,0,1,1,1
233,1,0,1,883.5,0,1,0,18623.6,0,0,1521.5,0,994.5,1,1170.5,0,0,0,1
235,1,0,0,1619.5,1,0,0,25716.8,1,0,1521.5,0,1926.5,1,1170.5,0,1,0,1
236,1,0,1,1619.5,0,0,0,16953.46,0,0,1521.5,0,994.5,0,284.5,1,0,0,1
238,1,0,0,883.5,0,0,0,7720.22,0,0,329.5,1,268.5,1,1170.5,0,1,0,1
240,1,0,0,883.5,0,0,0,10989.72,0,0,2084.5,0,994.5,1,1170.5,0,1,1,1
241,1,0,1,883.5,0,0,0,19593.05,1,0,2084.5,0,1926.5,0,284.5,0,1,1,1
250,1,1,0,883.5,0,0,0,14586.44,1,0,966.5,0,1926.5,1,1170.5,0,1,0,1
255,1,1,1,883.5,0,0,0,30818.21,1,0,2084.5,0,994.5,1,1170.5,1,0,0,1
256,1,0,0,189.5,0,0,1,1164.24,1,0,2084.5,1,268.5,1,1170.5,0,1,0,1
257,1,0,1,883.5,0,0,1,13897.49,1,0,966.5,0,994.5,0,284.5,1,0,0,1
258,1,0,0,883.5,0,0,0,14965.31,0,1,2084.5,0,994.5,0,2086.5,0,1,1,1
260,1,0,0,883.5,0,0,1,-980.03,1,0,1521.5,1,268.5,1,1170.5,0,0,1,1
262,1,0,0,189.5,0,0,1,-7569.14,0,0,966.5,1,268.5,1,1170.5,0,0,0,1
265,1,0,0,1619.5,0,0,0,23731.88,0,0,329.5,0,994.5,1,1170.5,0,0,1,1
266,1,0,0,883.5,0,0,0,-7551.25,1,0,966.5,0,994.5,1,1170.5,0,0,0,1
271,1,0,1,2119.5,0,0,1,16520.25,1,0,2084.5,0,994.5,0,2086.5,0,1,0,1
276,1,0,1,883.5,0,0,1,-20152.33,1,0,966.5,1,268.5,0,284.5,0,0,1,1
279,1,1,0,1619.5,0,0,1,10299.43,1,0,2084.5,1,268.5,1,1170.5,0,1,1,1
280,1,0,0,883.5,0,0,0,31965.14,1,0,2084.5,1,268.5,0,284.5,0,1,0,1
286,1,0,0,1619.5,0,0,0,40885.31,0,0,329.5,0,994.5,1,1170.5,0,1,1,1
287,1,0,1,883.5,1,0,0,32013.39,1,0,2084.5,0,994.5,1,1170.5,0,0,1,1
288,1,0,1,883.5,0,0,0,-4303.46,0,0,966.5,0,994.5,1,1170.5,0,0,0,1
289,1,0,1,189.5,0,0,1,25060.1,1,0,1521.5,0,994.5,1,1170.5,0,0,1,1
290,1,1,0,883.5,0,1,0,14112.34,1,0,2084.5,1,268.5,1,1170.5,1,0,0,1
292,1,0,0,883.5,0,0,1,9853.77,0,0,2084.5,0,1926.5,1,1170.5,0,1,0,1
294,1,0,0,1619.5,0,0,1,15132.07,0,1,1521.5,1,268.5,1,1170.5,1,0,1,1
296,1,0,1,883.5,0,0,0,15797.35,1,0,329.5,1,268.5,0,2086.5,0,0,1,1
297,1,1,1,2119.5,0,0,0,8855.25,0,0,2084.5,1,268.5,0,2086.5,0,0,1,1
299,1,0,1,883.5,0,0,0,17980.63,1,0,966.5,1,268.5,1,1170.5,0,0,1,3
306,1,0,0,189.5,0,0,1,10698.71,1,0,2084.5,0,994.5,1,1170.5,0,0,1,4
307,1,0,0,883.5,1,0,0,9351.9,1,0,1521.5,0,994.5,1,1170.5,0,1,1,1
308,1,0,1,1619.5,0,0,0,-7877.17,0,1,2084.5,0,994.5,1,1170.5,0,0,1,1
312,1,0,0,883.5,0,0,0,82.18,1,0,966.5,1,268.5,1,1170.5,0,0,0,1
317,1,0,1,189.5,0,0,1,10041.59,0,1,2084.5,1,268.5,1,1170.5,0,0,0,1
318,1,0,1,189.5,0,0,1,8501.4,1,0,1521.5,0,994.5,0,284.5,0,1,0,1
322,1,0,0,189.5,0,0,1,35705.73,0,1,2084.5,1,268.5,1,1170.5,0,0,0,1
327,1,0,0,1619.5,0,0,1,8406.02,0,1,2084.5,0,994.5,1,1170.5,1,0,1,2
340,1,0,0,189.5,0,0,1,14118.3,1,0,329.5,0,994.5,1,1170.5,0,0,0,1
346,1,0,0,189.5,0,0,1,-15141.98,0,0,2084.5,1,268.5,1,1170.5,1,0,0,1
347,1,0,0,189.5,0,0,1,9794.36,0,1,966.5,1,268.5,0,2086.5,1,0,1,1
348,1,0,0,883.5,0,0,0,32188.19,0,0,1521.5,1,268.5,1,1170.5,0,1,1,1
349,1,1,0,883.5,0,0,0,7953.2,1,0,966.5,0,994.5,0,2086.5,1,0,0,1
351,1,0,0,883.5,0,0,0,22272.07,1,0,2084.5,1,268.5,1,1170.5,0,0,0,2
353,1,0,0,883.5,0,0,0,6158.12,0,0,329.5,0,994.5,1,1170.5,0,1,1,1
355,1,1,0,2119.5,0,0,0,39615.01,1,0,2084.5,1,268.5,0,284.5,0,0,0,1
358,1,0,0,189.5,0,0,1,13179.77,0,0,966.5,1,268.5,1,1170.5,1,0,1,1
363,1,0,0,883.5,0,0,0,-19353.16,1,0,2084.5,0,994.5,1,1170.5,0,1,1,1
364,1,0,0,883.5,1,0,0,2474.34,1,0,966.5,0,1926.5,0,284.5,1,0,0,1
365,1,0,1,883.5,0,0,1,14026.99,1,0,966.5,1,268.5,0,284.5,1,0,1,1
366,1,0,0,189.5,0,0,1,16153.79,0,0,966.5,0,994.5,1,1170.5,1,0,0,5
371,1,0,0,2119.5,0,0,0,2956.28,1,0,2084.5,1,268.5,1,1170.5,0,0,1,1
372,1,0,0,189.5,0,0,1,-4709.1,0,1,329.5,1,268.5,1,1170.5,1,0,1,1
373,1,0,0,883.5,0,0,0,11572.05,0,0,1521.5,0,1926.5,0,2086.5,1,0,0,1
374,1,0,0,883.5,0,0,0,4091.32,0,0,1521.5,1,268.5,0,284.5,0,0,0,1
